x,y,t,type,id
378,459,1436206018485,m,717
296,591,1436206023505,c,717
378,460,1436206018799,m,717
377,460,1436206018810,m,717
377,462,1436206018820,m,717
376,462,1436206018829,m,717
376,467,1436206018840,m,717
376,467,1436206018849,m,717
376,469,1436206018860,m,717
375,471,1436206018870,m,717
374,474,1436206018880,m,717
373,475,1436206018891,m,717
373,476,1436206018901,m,717
373,476,1436206018911,m,717
373,477,1436206019023,m,717
373,478,1436206019043,m,717
373,478,1436206019052,m,717
373,479,1436206019064,m,717
374,479,1436206019073,m,717
375,480,1436206019083,m,717
376,481,1436206019093,m,717
376,481,1436206019103,m,717
377,483,1436206019114,m,717
378,483,1436206019124,m,717
378,484,1436206019133,m,717
378,484,1436206019145,m,717
378,484,1436206019154,m,717
379,486,1436206019164,m,717
379,487,1436206019174,m,717
380,488,1436206019185,m,717
381,489,1436206019195,m,717
381,489,1436206019205,m,717
382,491,1436206019215,m,717
382,492,1436206019226,m,717
383,492,1436206019235,m,717
384,494,1436206019246,m,717
386,494,1436206019255,m,717
387,496,1436206019266,m,717
389,498,1436206019276,m,717
393,500,1436206019287,m,717
394,504,1436206019296,m,717
398,506,1436206019306,m,717
401,508,1436206019316,m,717
404,510,1436206019326,m,717
407,513,1436206019336,m,717
412,514,1436206019348,m,717
416,523,1436206019357,m,717
424,529,1436206019366,m,717
434,551,1436206019388,m,717
445,560,1436206019398,m,717
452,566,1436206019407,m,717
458,574,1436206019417,m,717
466,579,1436206019428,m,717
468,585,1436206019437,m,717
479,591,1436206019448,m,717
485,597,1436206019458,m,717
487,600,1436206019468,m,717
491,600,1436206019479,m,717
491,600,1436206019489,m,717
491,600,1436206019509,m,717
491,601,1436206019518,m,717
491,601,1436206019530,m,717
491,601,1436206019550,m,717
492,601,1436206019560,m,717
492,601,1436206019570,m,717
492,601,1436206019580,m,717
492,601,1436206019611,m,717
492,601,1436206019620,m,717
492,601,1436206019641,m,717
492,601,1436206019651,m,717
495,601,1436206019661,m,717
495,600,1436206019670,m,717
498,599,1436206019681,m,717
500,599,1436206019691,m,717
500,598,1436206019702,m,717
501,598,1436206019711,m,717
504,598,1436206019722,m,717
504,598,1436206019732,m,717
504,597,1436206019763,m,717
504,597,1436206019834,m,717
503,597,1436206019843,m,717
503,598,1436206019854,m,717
501,598,1436206019864,m,717
501,599,1436206019873,m,717
500,600,1436206019884,m,717
498,600,1436206019894,m,717
496,602,1436206019905,m,717
495,603,1436206019914,m,717
492,604,1436206019924,m,717
492,604,1436206019935,m,717
492,604,1436206019944,m,717
491,604,1436206019956,m,717
491,604,1436206020037,m,717
491,604,1436206020046,m,717
491,604,1436206020057,m,717
490,604,1436206020066,m,717
490,604,1436206020077,m,717
490,603,1436206020088,m,717
490,603,1436206020097,m,717
486,600,1436206020108,m,717
486,599,1436206020117,m,717
482,595,1436206020127,m,717
479,592,1436206020138,m,717
479,592,1436206020159,m,717
478,591,1436206020168,m,717
478,591,1436206020177,m,717
478,591,1436206020188,m,717
477,590,1436206020198,m,717
473,587,1436206020208,m,717
472,585,1436206020219,m,717
467,583,1436206020228,m,717
462,580,1436206020240,m,717
457,576,1436206020249,m,717
450,572,1436206020260,m,717
446,571,1436206020270,m,717
445,570,1436206020279,m,717
442,570,1436206020290,m,717
442,568,1436206020299,m,717
440,568,1436206020311,m,717
439,568,1436206020321,m,717
437,566,1436206020330,m,717
434,566,1436206020341,m,717
431,566,1436206020350,m,717
429,566,1436206020361,m,717
426,565,1436206020371,m,717
424,565,1436206020380,m,717
423,564,1436206020391,m,717
423,564,1436206020401,m,717
422,564,1436206020411,m,717
422,563,1436206020422,m,717
422,563,1436206020431,m,717
422,563,1436206020442,m,717
422,561,1436206020451,m,717
421,561,1436206020462,m,717
421,559,1436206020472,m,717
421,559,1436206020482,m,717
420,558,1436206020492,m,717
419,557,1436206020502,m,717
418,556,1436206020513,m,717
417,554,1436206020523,m,717
415,553,1436206020532,m,717
412,552,1436206020543,m,717
412,551,1436206020553,m,717
409,549,1436206020563,m,717
409,549,1436206020574,m,717
408,548,1436206020583,m,717
407,548,1436206020594,m,717
405,548,1436206020604,m,717
405,548,1436206020613,m,717
404,547,1436206020624,m,717
403,547,1436206020634,m,717
402,547,1436206020645,m,717
401,547,1436206020655,m,717
401,546,1436206020664,m,717
401,546,1436206020681,m,717
401,546,1436206020684,m,717
401,545,1436206020695,m,717
401,545,1436206020706,m,717
401,544,1436206020717,m,717
402,543,1436206020725,m,717
402,541,1436206020736,m,717
403,541,1436206020746,m,717
403,538,1436206020756,m,717
404,536,1436206020765,m,717
404,535,1436206020776,m,717
404,534,1436206020786,m,717
404,534,1436206020797,m,717
404,535,1436206020858,m,717
404,535,1436206020867,m,717
403,537,1436206020888,m,717
401,538,1436206020898,m,717
401,538,1436206020908,m,717
399,538,1436206020918,m,717
399,539,1436206020928,m,717
398,539,1436206020939,m,717
397,541,1436206020949,m,717
395,541,1436206020958,m,717
394,541,1436206020969,m,717
392,543,1436206020979,m,717
391,543,1436206020989,m,717
387,546,1436206020999,m,717
383,549,1436206021010,m,717
379,551,1436206021019,m,717
375,556,1436206021041,m,717
374,557,1436206021051,m,717
374,559,1436206021060,m,717
373,559,1436206021070,m,717
373,559,1436206021080,m,717
372,560,1436206021091,m,717
372,561,1436206021101,m,717
372,561,1436206021111,m,717
372,563,1436206021121,m,717
372,564,1436206021132,m,717
372,567,1436206021141,m,717
372,569,1436206021152,m,717
372,574,1436206021162,m,717
375,579,1436206021172,m,717
378,582,1436206021182,m,717
381,585,1436206021192,m,717
386,590,1436206021202,m,717
389,591,1436206021212,m,717
395,595,1436206021222,m,717
400,595,1436206021232,m,717
404,598,1436206021242,m,717
409,599,1436206021253,m,717
412,600,1436206021263,m,717
413,601,1436206021272,m,717
417,601,1436206021284,m,717
421,604,1436206021293,m,717
425,605,1436206021303,m,717
428,605,1436206021313,m,717
430,605,1436206021323,m,717
432,605,1436206021334,m,717
432,605,1436206021344,m,717
433,605,1436206021354,m,717
433,605,1436206021364,m,717
433,605,1436206021374,m,717
433,605,1436206021384,m,717
433,606,1436206021394,m,717
433,606,1436206021415,m,717
433,606,1436206021425,m,717
433,606,1436206021436,m,717
433,606,1436206021445,m,717
433,606,1436206021456,m,717
433,606,1436206021487,m,717
433,607,1436206021496,m,717
433,607,1436206021507,m,717
433,607,1436206021517,m,717
433,607,1436206021526,m,717
433,607,1436206021532,m,717
433,607,1436206021639,m,717
433,607,1436206021659,m,717
433,607,1436206021689,m,717
433,607,1436206021699,m,717
433,607,1436206021720,m,717
433,606,1436206021729,m,717
433,606,1436206021740,m,717
433,606,1436206021749,m,717
431,605,1436206021760,m,717
429,603,1436206021770,m,717
429,603,1436206021780,m,717
428,603,1436206021790,m,717
428,603,1436206021800,m,717
428,603,1436206021810,m,717
428,602,1436206021842,m,717
428,602,1436206021851,m,717
428,602,1436206021872,m,717
428,602,1436206021892,m,717
428,601,1436206021901,m,717
428,601,1436206021923,m,717
428,601,1436206021932,m,717
428,600,1436206021962,m,717
428,600,1436206021982,m,717
428,600,1436206022044,m,717
427,598,1436206022063,m,717
424,596,1436206022074,m,717
424,595,1436206022084,m,717
424,594,1436206022095,m,717
424,594,1436206022104,m,717
423,594,1436206022114,m,717
423,593,1436206022125,m,717
423,590,1436206022134,m,717
423,589,1436206022146,m,717
422,586,1436206022155,m,717
422,583,1436206022164,m,717
422,579,1436206022186,m,717
422,577,1436206022196,m,717
422,574,1436206022205,m,717
422,572,1436206022215,m,717
422,569,1436206022226,m,717
422,566,1436206022236,m,717
425,562,1436206022247,m,717
425,559,1436206022256,m,717
425,557,1436206022266,m,717
425,555,1436206022277,m,717
425,554,1436206022286,m,717
425,554,1436206022297,m,717
425,553,1436206022308,m,717
425,553,1436206022348,m,717
425,553,1436206022358,m,717
425,553,1436206022367,m,717
424,554,1436206022378,m,717
423,554,1436206022388,m,717
423,554,1436206022399,m,717
422,554,1436206022408,m,717
422,555,1436206022418,m,717
419,555,1436206022429,m,717
419,554,1436206022450,m,717
416,553,1436206022459,m,717
414,552,1436206022469,m,717
411,550,1436206022479,m,717
407,548,1436206022489,m,717
402,545,1436206022500,m,717
396,540,1436206022510,m,717
391,540,1436206022519,m,717
386,537,1436206022530,m,717
