x,y,t,type,id
27,88,1435968816285,m,472
28,91,1435968816295,m,472
28,93,1435968816301,m,472
28,95,1435968816308,m,472
28,96,1435968816317,m,472
28,98,1435968816325,m,472
28,98,1435968816333,m,472
28,99,1435968816344,m,472
29,100,1435968816349,m,472
29,101,1435968816357,m,472
30,103,1435968816373,m,472
30,103,1435968816380,m,472
30,104,1435968816389,m,472
31,105,1435968816396,m,472
31,108,1435968816405,m,472
31,109,1435968816413,m,472
32,111,1435968816422,m,472
33,113,1435968816428,m,472
33,117,1435968816436,m,472
33,119,1435968816444,m,472
33,123,1435968816453,m,472
33,125,1435968816461,m,472
34,128,1435968816469,m,472
35,130,1435968816477,m,472
35,133,1435968816486,m,472
36,135,1435968816493,m,472
36,137,1435968816501,m,472
36,138,1435968816509,m,472
36,140,1435968816517,m,472
36,141,1435968816525,m,472
37,142,1435968816533,m,472
37,143,1435968816541,m,472
38,145,1435968816550,m,472
38,146,1435968816557,m,472
38,147,1435968816565,m,472
38,148,1435968816573,m,472
38,150,1435968816581,m,472
38,152,1435968816592,m,472
38,153,1435968816597,m,472
38,155,1435968816613,m,472
38,157,1435968816629,m,472
39,158,1435968816637,m,472
39,158,1435968816645,m,472
39,159,1435968816654,m,472
39,160,1435968816661,m,472
39,161,1435968816669,m,472
40,161,1435968816677,m,472
40,163,1435968816687,m,472
41,164,1435968816701,m,472
41,165,1435968816709,m,472
41,167,1435968816717,m,472
41,168,1435968816725,m,472
42,169,1435968816733,m,472
43,172,1435968816742,m,472
43,173,1435968816749,m,472
44,176,1435968816757,m,472
45,178,1435968816765,m,472
47,180,1435968816773,m,472
48,182,1435968816780,m,472
49,184,1435968816789,m,472
50,186,1435968816797,m,472
52,188,1435968816805,m,472
53,189,1435968816813,m,472
53,191,1435968816821,m,472
54,193,1435968816829,m,472
55,193,1435968816837,m,472
56,194,1435968816853,m,472
57,195,1435968816869,m,472
57,196,1435968816886,m,472
58,196,1435968816901,m,472
59,197,1435968816909,m,472
61,197,1435968816917,m,472
69,197,1435968817213,m,472
73,197,1435968817221,m,472
79,197,1435968817229,m,472
